behaviorSpaceRun,moranI,terr,mem,numPred
133,0.22022132422114193,None,None,3
134,0.25365866521406144,None,None,3
135,0.2524532408275286,None,None,3
136,0.2135810459383147,None,None,3
137,0.2229567086104345,None,None,3
138,0.2218550374320454,None,None,3
139,0.24039576676837754,None,None,3
140,0.2604100420188791,None,None,3
141,0.23022687815777026,None,None,3
142,0.2425428193783181,None,None,3
143,0.24559304124052186,None,None,3
144,0.21039503837392873,None,None,3
145,0.2425284424111138,None,None,3
146,0.22667740522707738,None,None,3
147,0.2509060180883559,None,None,3
148,0.2581500673753353,None,None,3
149,0.2422695486411374,None,None,3
150,0.18655448376419864,None,None,3
151,0.21830339835003962,None,None,4
152,0.21135230246757344,None,None,4
153,0.21984519439656,None,None,4
154,0.20799544993405616,None,None,4
155,0.20605851039699616,None,None,4
156,0.22870700325135915,None,None,4
157,0.21424606339381852,None,None,4
158,0.23179983361531603,None,None,4
159,0.22184645237308437,None,None,4
160,0.21124489328954626,None,None,4
161,0.1810871677572997,None,None,4
162,0.2480533569138904,None,None,4
163,0.17831282670272242,None,None,4
164,0.21656585475531745,None,None,4
165,0.24530064221034453,None,None,4
166,0.2017179311299125,None,None,4
167,0.2383179646384753,None,None,4
168,0.22519221625899183,None,None,4
169,0.22858540045921216,None,None,4
170,0.23278614623892602,None,None,4
171,0.238018831212307,None,None,4
172,0.21931654888677563,None,None,4
173,0.2009009255435164,None,None,4
174,0.21169309789803764,None,None,4
175,0.192036158475782,None,None,4
176,0.2230380176935614,None,None,4
177,0.22535189606379039,None,None,4
178,0.23173339859864758,None,None,4
179,0.22087330324371396,None,None,4
180,0.21187704950940192,None,None,4
181,0.22689522002217621,None,None,4
182,0.22120787535464392,None,None,4
183,0.2003160085040829,None,None,4
184,0.23244454626176086,None,None,4
185,0.2213327705996484,None,None,4
186,0.2199232835661135,None,None,4
187,0.20537817123587246,None,None,4
188,0.20270664396919688,None,None,4
189,0.2211822800106727,None,None,4
190,0.22952596005167566,None,None,4
191,0.24445343306530548,None,None,4
192,0.21193928791627273,None,None,4
193,0.23737821050629174,None,None,4
194,0.20049890687844016,None,None,4
195,0.20122399557466744,None,None,4
196,0.22804266567963652,None,None,4
197,0.21304401449042876,None,None,4
198,0.22517866009971457,None,None,4
199,0.22610417786646936,None,None,4
200,0.22917457735063115,None,None,4
1,0.2605589290121318,None,Shared,1
