behaviorSpaceRun,componentID,members,terr,mem,numPred,meanDist
96,8,,None,Individual,2,NA
97,1,,None,Individual,2,2.460861961927998
97,2,,None,Individual,2,3.1955732438295903
98,1,,None,Individual,2,1.5309459797764455
98,2,,None,Individual,2,9.3625517907983
99,1,,None,Individual,2,3.612138171849148
99,2,,None,Individual,2,1.5097225499589826
99,3,,None,Individual,2,NA
99,4,,None,Individual,2,NA
100,1,,None,Individual,2,1.8155156343166117
100,2,,None,Individual,2,NA
100,3,,None,Individual,2,1.4089486106294293
100,4,,None,Individual,2,NA
100,5,,None,Individual,2,0.6505226622217413
101,1,,None,Individual,3,1.3614078517303532
101,2,,None,Individual,3,4.406700140085271
101,3,,None,Individual,3,1.1754046372840785
101,4,,None,Individual,3,59.24556605806041
102,1,,None,Individual,3,6.2996444301926156
102,2,,None,Individual,3,1.4081380158296843
102,3,,None,Individual,3,2.459779784258779
103,1,,None,Individual,3,1.6599327737349698
103,2,,None,Individual,3,1.6083291549681848
103,3,,None,Individual,3,24.40305146527991
103,4,,None,Individual,3,NA
103,5,,None,Individual,3,NA
104,1,,None,Individual,3,1.117955939848365
104,2,,None,Individual,3,2.5635775680835584
104,3,,None,Individual,3,4.085826283821751
105,1,,None,Individual,3,2.0398875639802467
105,2,,None,Individual,3,0.9540975833820285
105,3,,None,Individual,3,0.426000932228102
105,4,,None,Individual,3,NA
105,5,,None,Individual,3,70.07634668573984
106,1,,None,Individual,3,0.48134655875373467
106,2,,None,Individual,3,NA
106,3,,None,Individual,3,1.5704181292137356
106,4,,None,Individual,3,1.2415045950259125
106,5,,None,Individual,3,NA
106,6,,None,Individual,3,NA
107,1,,None,Individual,3,1.181770951460267
107,2,,None,Individual,3,10.470478922475527
108,1,,None,Individual,3,1.6658174240880836
108,2,,None,Individual,3,7.947346801961222
109,1,,None,Individual,3,1.987290632908198
109,2,,None,Individual,3,1.7396131447532757
109,3,,None,Individual,3,1.7908456652484208
