"","behaviorSpaceRun","tick","compID","mean_within_dist","n_pairs","numPred"
"318","1",9500,1,1.13731937488307,15,1
"319","1",9500,2,2.98514245708404,68,1
"320","1",9550,1,0.973842275570482,15,1
"321","1",9550,2,2.61771905574783,58,1
"322","1",9600,1,1.31661117669564,15,1
"323","1",9600,2,2.26863202592807,52,1
"324","1",9650,1,1.20039560498206,15,1
"325","1",9650,2,2.00281339181677,52,1
"326","1",9700,1,1.24241708213006,15,1
"327","1",9700,2,1.74403113264245,36,1
"328","1",9700,3,1.58685854722276,6,1
"329","1",9750,1,1.39630024167206,15,1
"330","1",9750,2,1.83928279390367,36,1
"331","1",9750,3,1.85223481999013,6,1
"332","1",9800,1,1.45751792762607,15,1
"333","1",9800,2,1.48481929314938,36,1
"334","1",9800,3,2.22048072206282,6,1
"335","1",9850,1,1.80662887491963,15,1
"336","1",9850,2,1.6831075370916,36,1
"337","1",9850,3,1.9433499677282,6,1
"338","1",9900,1,1.68238379619153,15,1
"339","1",9900,2,1.15065820293272,36,1
"340","1",9900,3,2.07553423699902,6,1
"341","1",9950,1,1.77798451835603,15,1
"342","1",9950,2,1.31467254556598,36,1
"343","1",9950,3,2.4510151979064,6,1
"344","2",0,1,3.05792088844692,1,1
"345","2",50,1,3.21298913319046,1,1
"346","2",50,2,5.45136731196862,1,1
"347","2",50,3,3.08810431332881,1,1
"348","2",50,4,3.11179655022625,1,1
"349","2",100,1,3.94172858430633,4,1
"350","2",100,2,1.9789882768728,1,1
"351","2",100,3,2.00031314048576,1,1
"352","2",100,4,1.52974672452581,3,1
"353","2",150,1,2.71031556096333,1,1
"354","2",150,2,2.82856523684929,5,1
"355","2",150,3,1.07089148376481,1,1
"356","2",150,4,2.74644327411063,3,1
"357","2",150,5,0.970594214901367,1,1
"358","2",200,1,2.9197980257353,8,1
"359","2",200,2,0.300225148846661,1,1
"360","2",200,3,1.31263326942448,1,1
"361","2",200,4,0.5516601308777,1,1
"362","2",200,5,2.20119582272909,1,1
"363","2",250,1,2.92797635028502,11,1
"364","2",250,2,0.291946245052069,1,1
"365","2",250,3,2.84273762592518,6,1
"366","2",250,4,0.670214779007443,1,1
"367","2",300,1,3.05006237738998,12,1
"368","2",300,2,3.1213264310914,6,1
"369","2",300,3,1.10949789093986,1,1
"370","2",300,4,1.59718029836367,3,1
