"","numPred","behaviorSpaceRun","tick","compID","compSize"
"588",1,"2",3350,2,8
"589",1,"2",3400,1,12
"590",1,"2",3400,2,8
"591",1,"2",3450,1,12
"592",1,"2",3450,2,8
"593",1,"2",3500,1,12
"594",1,"2",3500,2,8
"595",1,"2",3550,1,12
"596",1,"2",3550,2,5
"597",1,"2",3550,3,3
"598",1,"2",3600,1,12
"599",1,"2",3600,2,8
"600",1,"2",3650,1,12
"601",1,"2",3650,2,8
"602",1,"2",3700,1,12
"603",1,"2",3700,2,8
"604",1,"2",3750,1,12
"605",1,"2",3750,2,7
"606",1,"2",3800,1,12
"607",1,"2",3800,2,8
"608",1,"2",3850,1,12
"609",1,"2",3850,2,8
"610",1,"2",3900,1,12
"611",1,"2",3900,2,8
"612",1,"2",3950,1,12
"613",1,"2",3950,2,8
"614",1,"2",4000,1,17
"615",1,"2",4000,2,2
"616",1,"2",4050,1,19
"617",1,"2",4100,1,19
"618",1,"2",4150,1,19
"619",1,"2",4200,1,19
"620",1,"2",4250,1,19
"621",1,"2",4300,1,19
"622",1,"2",4350,1,19
"623",1,"2",4400,1,19
"624",1,"2",4450,1,19
"625",1,"2",4500,1,19
"626",1,"2",4550,1,19
"627",1,"2",4600,1,19
"628",1,"2",4650,1,3
"629",1,"2",4650,2,16
"630",1,"2",4700,1,3
"631",1,"2",4700,2,12
"632",1,"2",4700,3,4
"633",1,"2",4750,1,3
"634",1,"2",4750,2,16
"635",1,"2",4800,1,3
"636",1,"2",4800,2,16
"637",1,"2",4850,1,3
"638",1,"2",4850,2,16
"639",1,"2",4900,1,3
"640",1,"2",4900,2,16
"641",1,"2",4950,1,3
"642",1,"2",4950,2,9
"643",1,"2",4950,3,7
"644",1,"2",5000,1,16
"645",1,"2",5050,1,12
"646",1,"2",5050,2,4
"647",1,"2",5100,1,17
"648",1,"2",5150,1,17
"649",1,"2",5200,1,17
"650",1,"2",5250,1,2
"651",1,"2",5250,2,17
"652",1,"2",5300,1,17
"653",1,"2",5350,1,17
"654",1,"2",5400,1,2
"655",1,"2",5400,2,17
"656",1,"2",5450,1,2
"657",1,"2",5450,2,17
"658",1,"2",5500,1,19
"659",1,"2",5550,1,19
"660",1,"2",5600,1,19
"661",1,"2",5650,1,19
"662",1,"2",5700,1,19
"663",1,"2",5750,1,19
"664",1,"2",5800,1,19
"665",1,"2",5850,1,19
"666",1,"2",5900,1,19
"667",1,"2",5950,1,20
"668",1,"2",6000,1,3
"669",1,"2",6000,2,12
"670",1,"2",6000,3,5
"671",1,"2",6050,1,18
"672",1,"2",6050,2,2
"673",1,"2",6100,1,10
"674",1,"2",6100,2,5
"675",1,"2",6100,3,5
"676",1,"2",6150,1,12
"677",1,"2",6150,2,5
"678",1,"2",6150,3,3
"679",1,"2",6200,1,13
"680",1,"2",6200,2,2
"681",1,"2",6200,3,3
"682",1,"2",6200,4,2
"683",1,"2",6250,1,12
"684",1,"2",6250,2,5
"685",1,"2",6250,3,3
"686",1,"2",6300,1,9
"687",1,"2",6300,2,6
"688",1,"2",6300,3,2
"689",1,"2",6350,1,15
"690",1,"2",6350,2,5
"691",1,"2",6400,1,15
"692",1,"2",6400,2,4
"693",1,"2",6450,1,15
"694",1,"2",6450,2,5
"695",1,"2",6500,1,15
"696",1,"2",6500,2,5
"697",1,"2",6550,1,20
"698",1,"2",6600,1,20
"699",1,"2",6650,1,20
"700",1,"2",6700,1,20
"701",1,"2",6750,1,15
"702",1,"2",6750,2,5
"703",1,"2",6800,1,15
"704",1,"2",6800,2,5
"705",1,"2",6850,1,15
"706",1,"2",6850,2,5
"707",1,"2",6900,1,15
"708",1,"2",6900,2,5
"709",1,"2",6950,1,15
"710",1,"2",6950,2,5
"711",1,"2",7000,1,15
"712",1,"2",7000,2,5
"713",1,"2",7050,1,15
"714",1,"2",7050,2,5
"715",1,"2",7100,1,15
"716",1,"2",7100,2,5
"717",1,"2",7150,1,14
"718",1,"2",7150,2,5
"719",1,"2",7200,1,14
"720",1,"2",7200,2,5
"721",1,"2",7250,1,14
"722",1,"2",7250,2,5
"723",1,"2",7300,1,9
"724",1,"2",7300,2,5
"725",1,"2",7300,3,5
"726",1,"2",7350,1,14
"727",1,"2",7350,2,5
"728",1,"2",7400,1,14
"729",1,"2",7400,2,5
"730",1,"2",7450,1,14
"731",1,"2",7450,2,5
"732",1,"2",7500,1,14
"733",1,"2",7500,2,5
"734",1,"2",7550,1,14
"735",1,"2",7550,2,5
"736",1,"2",7600,1,14
"737",1,"2",7600,2,5
"738",1,"2",7650,1,14
"739",1,"2",7650,2,5
"740",1,"2",7700,1,14
"741",1,"2",7700,2,5
"742",1,"2",7750,1,14
"743",1,"2",7750,2,5
"744",1,"2",7800,1,14
"745",1,"2",7800,2,5
"746",1,"2",7850,1,14
