"","numPred","behaviorSpaceRun","tick","compID","compSize"
"588",1,"2",7000,3,2
"589",1,"2",7050,1,9
"590",1,"2",7050,2,11
"591",1,"2",7100,1,8
"592",1,"2",7100,2,9
"593",1,"2",7100,3,2
"594",1,"2",7150,1,20
"595",1,"2",7200,1,20
"596",1,"2",7250,1,20
"597",1,"2",7300,1,20
"598",1,"2",7350,1,20
"599",1,"2",7400,1,20
"600",1,"2",7450,1,8
"601",1,"2",7450,2,11
"602",1,"2",7500,1,19
"603",1,"2",7550,1,19
"604",1,"2",7600,1,19
"605",1,"2",7650,1,8
"606",1,"2",7650,2,11
"607",1,"2",7700,1,20
"608",1,"2",7750,1,20
"609",1,"2",7800,1,20
"610",1,"2",7850,1,20
"611",1,"2",7900,1,20
"612",1,"2",7950,1,20
"613",1,"2",8000,1,20
"614",1,"2",8050,1,15
"615",1,"2",8050,2,5
"616",1,"2",8100,1,17
"617",1,"2",8100,2,3
"618",1,"2",8150,1,20
"619",1,"2",8200,1,20
"620",1,"2",8250,1,20
"621",1,"2",8300,1,20
"622",1,"2",8350,1,20
"623",1,"2",8400,1,20
"624",1,"2",8450,1,18
"625",1,"2",8450,2,2
"626",1,"2",8500,1,20
"627",1,"2",8550,1,20
"628",1,"2",8600,1,20
"629",1,"2",8650,1,20
"630",1,"2",8700,1,20
"631",1,"2",8750,1,11
"632",1,"2",8750,2,9
"633",1,"2",8800,1,20
"634",1,"2",8850,1,20
"635",1,"2",8900,1,20
"636",1,"2",8950,1,7
"637",1,"2",8950,2,13
"638",1,"2",9000,1,20
"639",1,"2",9050,1,7
"640",1,"2",9050,2,13
"641",1,"2",9100,1,7
"642",1,"2",9100,2,13
"643",1,"2",9150,1,7
"644",1,"2",9150,2,13
"645",1,"2",9200,1,7
"646",1,"2",9200,2,13
"647",1,"2",9250,1,7
"648",1,"2",9250,2,13
"649",1,"2",9300,1,7
"650",1,"2",9300,2,12
"651",1,"2",9350,1,7
"652",1,"2",9350,2,13
"653",1,"2",9400,1,7
"654",1,"2",9400,2,9
"655",1,"2",9400,3,4
"656",1,"2",9450,1,7
"657",1,"2",9450,2,13
"658",1,"2",9500,1,7
"659",1,"2",9500,2,10
"660",1,"2",9500,3,3
"661",1,"2",9550,1,13
"662",1,"2",9550,2,6
"663",1,"2",9600,1,7
"664",1,"2",9600,2,13
"665",1,"2",9650,1,7
"666",1,"2",9650,2,13
"667",1,"2",9700,1,7
"668",1,"2",9700,2,13
"669",1,"2",9750,1,7
"670",1,"2",9750,2,13
"671",1,"2",9800,1,7
"672",1,"2",9800,2,10
"673",1,"2",9800,3,3
"674",1,"2",9850,1,7
"675",1,"2",9850,2,9
"676",1,"2",9850,3,4
"677",1,"2",9900,1,7
"678",1,"2",9900,2,13
"679",1,"2",9950,1,6
"680",1,"2",9950,2,10
"681",1,"2",9950,3,3
"682",1,"3",0,1,2
"683",1,"3",0,2,2
"684",1,"3",0,3,2
"685",1,"3",0,4,3
"686",1,"3",50,1,6
"687",1,"3",50,2,4
"688",1,"3",50,3,2
"689",1,"3",50,4,3
"690",1,"3",50,5,3
"691",1,"3",100,1,11
"692",1,"3",100,2,6
"693",1,"3",100,3,3
"694",1,"3",150,1,13
"695",1,"3",150,2,6
"696",1,"3",200,1,13
"697",1,"3",200,2,5
"698",1,"3",200,3,2
"699",1,"3",250,1,20
"700",1,"3",300,1,20
"701",1,"3",350,1,20
"702",1,"3",400,1,20
"703",1,"3",450,1,20
"704",1,"3",500,1,20
"705",1,"3",550,1,20
"706",1,"3",600,1,20
"707",1,"3",650,1,20
"708",1,"3",700,1,20
"709",1,"3",750,1,20
"710",1,"3",800,1,20
"711",1,"3",850,1,20
"712",1,"3",900,1,20
"713",1,"3",950,1,16
"714",1,"3",950,2,4
"715",1,"3",1000,1,14
"716",1,"3",1000,2,6
"717",1,"3",1050,1,14
"718",1,"3",1050,2,6
"719",1,"3",1100,1,14
"720",1,"3",1100,2,6
"721",1,"3",1150,1,14
"722",1,"3",1150,2,6
"723",1,"3",1200,1,9
"724",1,"3",1200,2,11
"725",1,"3",1250,1,19
"726",1,"3",1300,1,20
"727",1,"3",1350,1,20
"728",1,"3",1400,1,20
"729",1,"3",1450,1,20
"730",1,"3",1500,1,20
"731",1,"3",1550,1,20
"732",1,"3",1600,1,20
"733",1,"3",1650,1,20
"734",1,"3",1700,1,20
"735",1,"3",1750,1,20
"736",1,"3",1800,1,20
"737",1,"3",1850,1,20
"738",1,"3",1900,1,18
"739",1,"3",1900,2,2
"740",1,"3",1950,1,20
"741",1,"3",2000,1,20
"742",1,"3",2050,1,20
"743",1,"3",2100,1,20
"744",1,"3",2150,1,20
"745",1,"3",2200,1,20
"746",1,"3",2250,1,20
"747",1,"3",2300,1,20
"748",1,"3",2350,1,16
